BSU	GeneID	Abundance
BSU00010	dnaA	3522
BSU00020	dnaN	2486
BSU00030	yaaA	579
BSU00040	recF	7214
BSU00050	yaaB	557
BSU00060	gyrB	13951
BSU00070	gyrA	23558
BSU00080	yaaC	80
BSU00090	guaB	6907
BSU00100	dacA	2463
BSU00110	yaaD	2433
BSU00120	yaaE	1841
BSU00130	serS	612
BSU00140	dck	343
BSU00150	dgk	605
BSU00160	yaaH	1465
BSU00170	yaaI	1191
BSU00180	tadA	637
BSU00190	dnaX	2943
BSU00200	yaaK	831
BSU00210	recR	448
BSU00220	yaaL	123
BSU00230	bofA	33
BSU00240	csfB	24
BSU00250	xpaC	780
BSU00260	yaaN	2236
BSU00270	yaaO	2904
BSU00280	tmk	1044
BSU00290	yaaQ	933
BSU00300	yaaR	1148
BSU00310	holB	4243
BSU00320	yaaT	5127
BSU00330	yabA	1867
BSU00340	yabB	445
BSU00350	yazA	143
BSU00360	yabC	743
BSU00370	abrB	4245
BSU00380	metS	2830
BSU00390	yabD	215
BSU00400	yabE	3866
BSU00410	rnmV	313
BSU00420	ksgA	543
BSU00430	yabG	8
BSU00440	veg	6389
BSU00450	sspF	127
BSU00460	ipk	1688
BSU00470	purR	1832
BSU00480	yabJ	1300
BSU00490	spoVG	16499
BSU00500	glmU	2069
BSU00510	prs	1991
BSU00520	ctc	87221
BSU00530	pth	3335
BSU00540	yabK	754
BSU00550	mfd	9729
BSU00560	spoVT	1649
BSU00570	yabM	158
BSU00580	yabN	918
BSU00590	yabO	383
BSU00600	yabP	234
BSU00610	yabQ	1289
BSU00620	divIC	11328
BSU00630	yabR	18528
BSU00640	spoIIE	678
BSU00650	yabS	473
BSU00660	yabT	397
BSU00670	tilS	6684
BSU00680	hprT	1183
BSU00690	ftsH	29557
BSU00700	coaX	405
BSU00710	hslO	621
BSU00720	yacD	586
BSU00730	cysK	7838
BSU00740	pabB	1110
BSU00750	pabA	911
BSU00760	pabC	705
BSU00770	sul	1371
BSU00780	folB	401
BSU00790	folK	720
BSU00800	yazB	393
BSU00810	dusB	4110
BSU00820	lysS	5219
BSU00830	ctsR	2027
BSU00840	mcsA	1161
BSU00850	mcsB	5332
BSU00860	clpC	49122
BSU00870	radA	14100
BSU00880	yacK	7148
BSU00890	yacL	7738
BSU00900	ispD	7497
BSU00910	ispF	129
BSU00920	gltX	10491
BSU00930	cysE	216
BSU00940	cysS	734
BSU00950	mrnC	128
BSU00960	rlmB	545
BSU00970	yacP	203
BSU00980	sigH	5261
BSU00990	rpmG	1609
BSU01000	secE	357
BSU01010	nusG	1648
BSU01020	rplK	35668
BSU01030	rplA	26938
BSU01040	rplJ	8528
BSU01050	rplL	8899
BSU01060	ybxB	1090
BSU01070	rpoB	121105
BSU01080	rpoC	161924
BSU01090	ybxF	10943
BSU01100	rpsL	16717
BSU01110	rpsG	12033
BSU01120	fusA	100552
BSU01130	tufA	131297
BSU01140	ybaC	189
BSU01150	rpsJ	3014
BSU01160	rplC	9315
BSU01170	rplD	5455
BSU01180	rplW	2676
BSU01190	rplB	13353
BSU01200	rpsS	2576
BSU01210	rplV	3329
BSU01220	rpsC	5260
BSU01230	rplP	2615
BSU01240	rpmC	512
BSU01250	rpsQ	1759
BSU01260	rplN	2975
BSU01270	rplX	1929
BSU01280	rplE	2176
BSU01290	rpsN	453
BSU01300	rpsH	2626
BSU01310	rplF	4735
BSU01320	rplR	1906
BSU01330	rpsE	4959
BSU01340	rpmD	926
BSU01350	rplO	4196
BSU01360	secY	8078
BSU01370	adk	5056
BSU01380	mapA	26
BSU01389	ybzG	1178
BSU01390	infA	2599
BSU01400	rpmJ	233
BSU01410	rpsM	3410
BSU01420	rpsK	7248
BSU01430	rpoA	137
BSU01440	rplQ	5553
BSU01450	cbiO	475
BSU01460	cbiO	736
BSU01470	ybaF	614
BSU01480	truA	693
BSU01490	rplM	9425
BSU01500	rpsI	8052
BSU01510	ybaJ	694
BSU01520	ybaK	3
BSU01530	cwlD	26
BSU01540	salA	10622
BSU01550	gerD	25
BSU01560	kbaA	477
BSU01570	ybaN	6
BSU01580	ybaR	1446
BSU01590	ybaS	1368
BSU01600	ybbA	1124
BSU01610	feuC	1290
BSU01620	feuB	3323
BSU01630	feuA	10798
BSU01640	ybbB	1605
BSU01650	ybbC	14659
BSU01660	ybbD	16957
BSU01670	ybbE	10377
BSU01680	ybbF	7686
BSU01690	ybbH	4270
BSU01700	murQ	6302
BSU01710	ybbJ	236
