BSU	GeneID	Abundance
BSU00010	dnaA	1479
BSU00020	dnaN	1662
BSU00030	yaaA	165
BSU00040	recF	6091
BSU00050	yaaB	259
BSU00060	gyrB	12415
BSU00070	gyrA	14536
BSU00080	yaaC	4
BSU00090	guaB	10311
BSU00100	dacA	2073
BSU00110	yaaD	6251
BSU00120	yaaE	4866
BSU00130	serS	7281
BSU00140	dck	916
BSU00150	dgk	677
BSU00160	yaaH	179
BSU00170	yaaI	59
BSU00180	tadA	100
BSU00190	dnaX	1111
BSU00200	yaaK	595
BSU00210	recR	607
BSU00220	yaaL	219
BSU00230	bofA	30
BSU00240	csfB	3
BSU00250	xpaC	254
BSU00260	yaaN	726
BSU00270	yaaO	678
BSU00280	tmk	472
BSU00290	yaaQ	564
BSU00300	yaaR	845
BSU00310	holB	1776
BSU00320	yaaT	1784
BSU00330	yabA	957
BSU00340	yabB	275
BSU00350	yazA	93
BSU00360	yabC	521
BSU00370	abrB	4294
BSU00380	metS	7127
BSU00390	yabD	702
BSU00400	yabE	542
BSU00410	rnmV	114
BSU00420	ksgA	407
BSU00430	yabG	10
BSU00440	veg	3968
BSU00450	sspF	108
BSU00460	ipk	1706
BSU00470	purR	3927
BSU00480	yabJ	3368
BSU00490	spoVG	10145
BSU00500	glmU	2137
BSU00510	prs	4186
BSU00520	ctc	36398
BSU00530	pth	1502
BSU00540	yabK	363
BSU00550	mfd	10644
BSU00560	spoVT	2293
BSU00570	yabM	311
BSU00580	yabN	2055
BSU00590	yabO	1043
BSU00600	yabP	641
BSU00610	yabQ	699
BSU00620	divIC	1797
BSU00630	yabR	2489
BSU00640	spoIIE	76
BSU00650	yabS	68
BSU00660	yabT	21
BSU00670	tilS	2209
BSU00680	hprT	1844
BSU00690	ftsH	40639
BSU00700	coaX	549
BSU00710	hslO	1718
BSU00720	yacD	154
BSU00730	cysK	12510
BSU00740	pabB	814
BSU00750	pabA	631
BSU00760	pabC	415
BSU00770	sul	1235
BSU00780	folB	484
BSU00790	folK	625
BSU00800	yazB	346
BSU00810	dusB	4085
BSU00820	lysS	13919
BSU00830	ctsR	1558
BSU00840	mcsA	1090
BSU00850	mcsB	3916
BSU00860	clpC	30974
BSU00870	radA	4636
BSU00880	yacK	3237
BSU00890	yacL	2251
BSU00900	ispD	3258
BSU00910	ispF	519
BSU00920	gltX	17503
BSU00930	cysE	733
BSU00940	cysS	5059
BSU00950	mrnC	753
BSU00960	rlmB	1923
BSU00970	yacP	1188
BSU00980	sigH	2565
BSU00990	rpmG	488
BSU01000	secE	209
BSU01010	nusG	557
BSU01020	rplK	30374
BSU01030	rplA	18780
BSU01040	rplJ	36609
BSU01050	rplL	30583
BSU01060	ybxB	751
BSU01070	rpoB	61551
BSU01080	rpoC	105080
BSU01090	ybxF	2146
BSU01100	rpsL	40185
BSU01110	rpsG	37593
BSU01120	fusA	345759
BSU01130	tufA	343578
BSU01140	ybaC	202
BSU01150	rpsJ	14332
BSU01160	rplC	35459
BSU01170	rplD	31926
BSU01180	rplW	16342
BSU01190	rplB	80213
BSU01200	rpsS	14984
BSU01210	rplV	16977
BSU01220	rpsC	29489
BSU01230	rplP	18737
BSU01240	rpmC	4302
BSU01250	rpsQ	16536
BSU01260	rplN	32479
BSU01270	rplX	17260
BSU01280	rplE	32011
BSU01290	rpsN	7393
BSU01300	rpsH	28575
BSU01310	rplF	47710
BSU01320	rplR	26055
BSU01330	rpsE	49946
BSU01340	rpmD	10808
BSU01350	rplO	38829
BSU01360	secY	100092
BSU01370	adk	75133
BSU01380	mapA	1006
BSU01389	ybzG	24848
BSU01390	infA	44131
BSU01400	rpmJ	5387
BSU01410	rpsM	37315
BSU01420	rpsK	59884
BSU01430	rpoA	974
BSU01440	rplQ	43357
BSU01450	cbiO	777
BSU01460	cbiO	1158
BSU01470	ybaF	705
BSU01480	truA	3052
BSU01490	rplM	11578
BSU01500	rpsI	15501
BSU01510	ybaJ	222
BSU01520	ybaK	7
BSU01530	cwlD	16
BSU01540	salA	8298
BSU01550	gerD	1
BSU01560	kbaA	112
BSU01570	ybaN	0
BSU01580	ybaR	459
BSU01590	ybaS	502
BSU01600	ybbA	299
BSU01610	feuC	538
BSU01620	feuB	363
BSU01630	feuA	1222
BSU01640	ybbB	616
BSU01650	ybbC	102
BSU01660	ybbD	193
BSU01670	ybbE	138
BSU01680	ybbF	202
BSU01690	ybbH	205
BSU01700	murQ	336
BSU01710	ybbJ	30
BSU01720	ybbK	100
BSU01730	sigW	7638
BSU01740	rsiW	13058
BSU01750	ybbP	1092
BSU01760	ybbR	3226
BSU01770	glmM	4549
BSU01780	glmS	4479
BSU01800	alkA	110
BSU01810	adaA	8
BSU01820	adaB	31
BSU01830	ndhF	165
BSU01845	ybcC	167
BSU01860	ybcF	7
BSU01870	ybcH	3
BSU01880	ybcI	13
BSU01889	ybzH	59
BSU01890	ybcL	200
BSU01900	ybcM	3
BSU01910	skfA	133
BSU01920	skfB	45
BSU01935	skfC	52
BSU01950	skfE	74
BSU01960	skfF	45
BSU01970	skfG	51
BSU01980	skfH	18
BSU01990	ybdG	47
BSU02000	ybdJ	60
BSU02010	ybdK	293
BSU02019	ybzI	1983
BSU02030	ybdM	27
BSU02040	ybdN	89
BSU02050	ybdO	1056
BSU02060	ybxG	569
BSU02070	csgA	0
BSU02080	ybxH	1
BSU02090	ybxI	121
BSU02100	cypC	642
BSU02110	ybyB	3585
BSU02120	ybeC	5998
BSU02130	glpQ	41
BSU02140	glpT	13
BSU02150	ybeF	5
BSU02160	ybfA	101
BSU02170	ybfB	453
BSU02180	ybfE	24
BSU02190	ybfF	83
BSU02200	ybfG	382
BSU02210	ybfH	164
BSU02220	ybfI	93
BSU02230	purT	4521
BSU02240	mpr	698
BSU02250	ybfJ	351
BSU02260	ybfK	502
BSU02270	pssA	496
BSU02280	ybfM	494
BSU02290	psd	871
BSU02300	ybfN	69
BSU02310	ybfO	1764
BSU02320	ybfP	306
BSU02330	ybfQ	2777
BSU02340	gltP	66
BSU02350	nagP	1025
BSU02360	nagBB	1125
BSU02370	ybgA	218
BSU02380	ybgB	117
BSU02390	ybgE	796
BSU02400	ybgF	697
BSU02410	mmuM	528
BSU02420	glnT	8
BSU02430	ybgJ	5
BSU02440	glnJ	229
BSU02450	glnL	226
BSU02460	ycbC	38
BSU02470	ycbD	116
BSU02480	gudP	51
BSU02490	gudD	40
BSU02500	ycbG	463
BSU02510	garD	132
BSU02520	ycbJ	1448
BSU02530	rtpA	82
BSU02540	ycbK	306
BSU02550	ycbL	46
BSU02560	ycbM	63
BSU02570	ycbN	194
BSU02580	ycbO	280
BSU02590	ycbP	614
BSU02600	cwlJ	25
BSU02610	ycbR	94
BSU02619	yczK	2
BSU02620	phoD	51
BSU02630	tatAD	7
BSU02640	tatCD	8
BSU02650	pcp	232
BSU02660	ycbU	380
BSU02670	lmrB	651
BSU02680	lmrA	507
BSU02690	ansZ	204
BSU02700	estA	565
BSU02710	yczC	52
BSU02720	yccF	1042
BSU02730	natK	184
BSU02740	natR	89
BSU02750	natA	175
BSU02760	natB	367
BSU02770	yccK	419
BSU02780	ycdA	2624
BSU02790	ycdB	173
BSU02800	ycdC	223
BSU02810	cwlK	27
BSU02820	rapJ	1443
BSU02830	ycdF	1005
BSU02840	ycdG	2382
BSU02850	adcA	711
BSU02860	adcC	61
BSU02870	adcB	84
BSU02880	yceB	235
