BSU	GeneID	Abundance
BSU00010	dnaA	504
BSU00020	dnaN	290
BSU00030	yaaA	90
BSU00040	recF	3919
BSU00050	yaaB	245
BSU00060	gyrB	9119
BSU00070	gyrA	5965
BSU00080	yaaC	14
BSU00090	guaB	4892
BSU00100	dacA	238
BSU00110	yaaD	1447
BSU00120	yaaE	1581
BSU00130	serS	1625
BSU00140	dck	78
BSU00150	dgk	25
BSU00160	yaaH	138
BSU00170	yaaI	75
BSU00180	tadA	31
BSU00190	dnaX	404
BSU00200	yaaK	243
BSU00210	recR	157
BSU00220	yaaL	50
BSU00230	bofA	1
BSU00240	csfB	3
BSU00250	xpaC	23
BSU00260	yaaN	115
BSU00270	yaaO	466
BSU00280	tmk	166
BSU00290	yaaQ	171
BSU00300	yaaR	241
BSU00310	holB	994
BSU00320	yaaT	2061
BSU00330	yabA	937
BSU00340	yabB	80
BSU00350	yazA	16
BSU00360	yabC	132
BSU00370	abrB	370
BSU00380	metS	1409
BSU00390	yabD	180
BSU00400	yabE	1178
BSU00410	rnmV	126
BSU00420	ksgA	300
BSU00430	yabG	5
BSU00440	veg	8744
BSU00450	sspF	30
BSU00460	ipk	635
BSU00470	purR	2243
BSU00480	yabJ	1924
BSU00490	spoVG	6398
BSU00500	glmU	1643
BSU00510	prs	2591
BSU00520	ctc	66062
BSU00530	pth	699
BSU00540	yabK	107
BSU00550	mfd	2062
BSU00560	spoVT	539
BSU00570	yabM	131
BSU00580	yabN	441
BSU00590	yabO	187
BSU00600	yabP	136
BSU00610	yabQ	137
BSU00620	divIC	489
BSU00630	yabR	2881
BSU00640	spoIIE	127
BSU00650	yabS	80
BSU00660	yabT	52
BSU00670	tilS	926
BSU00680	hprT	335
BSU00690	ftsH	12144
BSU00700	coaX	57
BSU00710	hslO	417
BSU00720	yacD	62
BSU00730	cysK	2179
BSU00740	pabB	288
BSU00750	pabA	291
BSU00760	pabC	267
BSU00770	sul	510
BSU00780	folB	150
BSU00790	folK	247
BSU00800	yazB	256
BSU00810	dusB	2035
BSU00820	lysS	5187
BSU00830	ctsR	537
BSU00840	mcsA	412
BSU00850	mcsB	1235
BSU00860	clpC	8778
BSU00870	radA	568
BSU00880	yacK	250
BSU00890	yacL	797
BSU00900	ispD	1708
BSU00910	ispF	18
BSU00920	gltX	4588
BSU00930	cysE	227
BSU00940	cysS	1280
BSU00950	mrnC	104
BSU00960	rlmB	395
BSU00970	yacP	140
BSU00980	sigH	1159
BSU00990	rpmG	210
BSU01000	secE	67
BSU01010	nusG	200
BSU01020	rplK	2626
BSU01030	rplA	1266
BSU01040	rplJ	1562
BSU01050	rplL	1678
BSU01060	ybxB	63
BSU01070	rpoB	29225
BSU01080	rpoC	50615
BSU01090	ybxF	448
BSU01100	rpsL	7270
BSU01110	rpsG	6822
BSU01120	fusA	52712
BSU01130	tufA	85490
BSU01140	ybaC	46
BSU01150	rpsJ	1036
BSU01160	rplC	3649
BSU01170	rplD	2947
BSU01180	rplW	2379
BSU01190	rplB	10833
BSU01200	rpsS	1514
BSU01210	rplV	1919
BSU01220	rpsC	3679
BSU01230	rplP	1486
BSU01240	rpmC	581
BSU01250	rpsQ	1793
BSU01260	rplN	2806
BSU01270	rplX	1111
BSU01280	rplE	2788
BSU01290	rpsN	492
BSU01300	rpsH	1936
BSU01310	rplF	3398
BSU01320	rplR	1780
BSU01330	rpsE	3446
BSU01340	rpmD	762
BSU01350	rplO	3037
BSU01360	secY	8416
BSU01370	adk	4802
BSU01380	mapA	69
BSU01389	ybzG	1349
BSU01390	infA	2671
BSU01400	rpmJ	248
BSU01410	rpsM	3657
BSU01420	rpsK	5147
BSU01430	rpoA	390
BSU01440	rplQ	6459
BSU01450	cbiO	153
BSU01460	cbiO	420
BSU01470	ybaF	273
BSU01480	truA	456
BSU01490	rplM	5136
BSU01500	rpsI	9329
BSU01510	ybaJ	50
BSU01520	ybaK	5
BSU01530	cwlD	8
BSU01540	salA	1428
BSU01550	gerD	8
BSU01560	kbaA	31
BSU01570	ybaN	0
BSU01580	ybaR	498
BSU01590	ybaS	784
BSU01600	ybbA	22
BSU01610	feuC	38
BSU01620	feuB	49
BSU01630	feuA	128
BSU01640	ybbB	59
BSU01650	ybbC	214
BSU01660	ybbD	252
BSU01670	ybbE	129
BSU01680	ybbF	82
BSU01690	ybbH	43
BSU01700	murQ	36
BSU01710	ybbJ	11
BSU01720	ybbK	26
BSU01730	sigW	506
BSU01740	rsiW	1259
BSU01750	ybbP	399
BSU01760	ybbR	673
BSU01770	glmM	336
BSU01780	glmS	6868
BSU01800	alkA	26
BSU01810	adaA	5
BSU01820	adaB	27
BSU01830	ndhF	31
BSU01845	ybcC	88
BSU01860	ybcF	16
BSU01870	ybcH	2
BSU01880	ybcI	16
BSU01889	ybzH	38
BSU01890	ybcL	119
BSU01900	ybcM	1
BSU01910	skfA	242
BSU01920	skfB	19
BSU01935	skfC	14
BSU01950	skfE	39
BSU01960	skfF	21
BSU01970	skfG	13
BSU01980	skfH	3
BSU01990	ybdG	15
BSU02000	ybdJ	24
BSU02010	ybdK	191
BSU02019	ybzI	179
BSU02030	ybdM	27
BSU02040	ybdN	57
BSU02050	ybdO	150
BSU02060	ybxG	400
BSU02070	csgA	3
BSU02080	ybxH	0
BSU02090	ybxI	73
BSU02100	cypC	825
BSU02110	ybyB	5920
BSU02120	ybeC	2972
BSU02130	glpQ	34
BSU02140	glpT	8
BSU02150	ybeF	0
BSU02160	ybfA	1926
BSU02170	ybfB	16006
BSU02180	ybfE	2
BSU02190	ybfF	2
BSU02200	ybfG	64
BSU02210	ybfH	32
BSU02220	ybfI	23
BSU02230	purT	143
BSU02240	mpr	907
BSU02250	ybfJ	899
BSU02260	ybfK	94
BSU02270	pssA	234
BSU02280	ybfM	371
BSU02290	psd	714
BSU02300	ybfN	25
BSU02310	ybfO	68
BSU02320	ybfP	45
BSU02330	ybfQ	948
BSU02340	gltP	61
BSU02350	nagP	208
BSU02360	nagBB	54
BSU02370	ybgA	48
BSU02380	ybgB	22
BSU02390	ybgE	842
BSU02400	ybgF	837
BSU02410	mmuM	71
BSU02420	glnT	7
BSU02430	ybgJ	1
BSU02440	glnJ	149
BSU02450	glnL	156
BSU02460	ycbC	36
BSU02470	ycbD	163
BSU02480	gudP	24
BSU02490	gudD	35
BSU02500	ycbG	707
BSU02510	garD	101
BSU02520	ycbJ	1854
BSU02530	rtpA	9
BSU02540	ycbK	49
BSU02550	ycbL	8
BSU02560	ycbM	7
BSU02570	ycbN	41
BSU02580	ycbO	104
BSU02590	ycbP	1502
BSU02600	cwlJ	4
BSU02610	ycbR	72
BSU02619	yczK	0
BSU02620	phoD	24
BSU02630	tatAD	2
BSU02640	tatCD	4
BSU02650	pcp	266
BSU02660	ycbU	433
BSU02670	lmrB	493
BSU02680	lmrA	294
BSU02690	ansZ	143
BSU02700	estA	10
BSU02710	yczC	122
BSU02720	yccF	391
BSU02730	natK	71
BSU02740	natR	45
BSU02750	natA	45
BSU02760	natB	102
BSU02770	yccK	234
BSU02780	ycdA	471
BSU02790	ycdB	118
BSU02800	ycdC	69
BSU02810	cwlK	32
BSU02820	rapJ	1106
BSU02830	ycdF	412
BSU02840	ycdG	1029
BSU02850	adcA	3471
BSU02860	adcC	137
BSU02870	adcB	341
BSU02880	yceB	113
BSU02890	yceC	373
BSU02900	yceD	1771
BSU02910	yceE	3995
BSU02920	yceF	6659
BSU02930	yceG	1160
BSU02940	yceH	1574
BSU02950	yceI	1540
BSU02960	yceJ	1
BSU02970	yceK	58
BSU02980	opuAA	1328
BSU02990	opuAB	2605
BSU03000	opuAC	4223
BSU03010	amhX	5566
BSU03020	ycgA	432
BSU03030	ycgB	38
BSU03040	amyE	559
BSU03050	ldh	70261
BSU03060	lctP	89534
BSU03070	mdr	195
BSU03080	ycgE	31
BSU03090	ycgF	42
BSU03100	ycgG	97
BSU03110	ycgH	13
BSU03120	ycgI	0
BSU03130	nadE	3643
BSU03140	tmrB	20
BSU03150	aroK	92
BSU03160	ycgJ	52
BSU03170	ycgK	23
BSU03180	cah	7
BSU03190	ycgL	19
BSU03200	ycgM	32
BSU03210	ycgN	250
BSU03220	ycgO	298
BSU03230	ycgP	77
BSU03240	ycgQ	54
BSU03250	ycgR	50
BSU03260	ycgS	65
BSU03270	ycgT	295
BSU03280	nasF	942
BSU03290	nasE	179
BSU03300	nasD	350
BSU03310	nasC	159
BSU03320	nasB	174
BSU03330	nasA	205
BSU03340	yciA	623
BSU03350	yciB	355
BSU03359	yczL	255
BSU03360	yciC	41239
BSU03370	yckA	404
BSU03380	yckB	513
BSU03390	yckC	144
BSU03400	yckD	7
BSU03410	bglC	44
BSU03420	nin	6700
BSU03430	nucA	620
BSU03440	tlpC	36
BSU03450	hxlB	346
BSU03460	hxlA	166
BSU03470	hxlR	575
BSU03480	srfAA	440693
BSU03490	srfAB	590694
BSU03500	comS	0
BSU03510	srfAC	295166
BSU03520	srfAD	54280
BSU03530	ycxA	1394
BSU03540	ycxB	47
BSU03550	ycxC	60
BSU03560	ycxD	32
BSU03569	sfp	25
BSU03570	sfp	75
BSU03580	yczE	158
BSU03590	tcyC	383
BSU03600	tcyB	125
BSU03610	tcyA	122
BSU03620	yclA	77
BSU03630	yclB	11
BSU03640	ubiD	68
BSU03651	bsdD	4
BSU03652	yclD	38
BSU03660	yclE	354
BSU03670	dtpT	72
BSU03680	yclG	40
BSU03690	yczF	0
BSU03700	gerKA	19
BSU03710	gerKC	12
BSU03720	gerKB	29
BSU03730	yclH	15
BSU03740	yclI	8
BSU03750	yclJ	245
BSU03760	yclK	959
BSU03770	rapC	1115
BSU03780	phrC	166
BSU03789	yczN	38
BSU03790	yclM	664
BSU03800	yclN	292
BSU03810	yclO	193
BSU03820	yclP	178
BSU03830	yclQ	543
BSU03840	ycnB	491
BSU03850	ycnC	41
BSU03860	ycnD	288
BSU03870	ycnE	48
BSU03880	yczG	333
BSU03890	gabR	123
BSU03900	gabT	83
BSU03910	gabD	2287
BSU03920	glcU	2
BSU03930	gdh	14
BSU03940	ycnI	960
BSU03950	ycnJ	1853
BSU03960	ycnK	315
BSU03970	ycnL	82
BSU03981	mtlA	37
BSU03982	mtlF	25
BSU03990	mtlD	83
BSU04000	ycsA	35
BSU04010	sipU	4
BSU04020	yczH	126
BSU04030	ycsD	136
BSU04039	yczO	268
BSU04040	ycsE	312
BSU04050	ycsF	385
BSU04060	ycsG	497
BSU04070	ycsI	543
BSU04080	kipI	261
BSU04090	kipA	351
BSU04100	kipR	118
BSU04110	lipC	23
BSU04120	yczI	19
BSU04130	yczJ	326
BSU04140	pbpC	1217
BSU04150	ycsN	1581
BSU04160	mtlR	214
BSU04170	ydaB	262
BSU04180	ydaC	104
BSU04190	ydaD	602
BSU04200	ydaE	410
BSU04210	ydaF	270
BSU04220	ydaG	4230
